# HELP datafusion_mem_pool_bytes Number of bytes within the datafusion memory pool
# TYPE datafusion_mem_pool_bytes gauge
datafusion_mem_pool_bytes{state="limit"} 2505732915
datafusion_mem_pool_bytes{state="reserved"} 0
# HELP http_request_duration_seconds distribution of request latencies
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.01"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.025"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.05"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.25"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="0.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="2.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="10"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="client_error",le="inf"} 0
http_request_duration_seconds_sum{method="GET",method_path="GET /ping",path="/ping",status="client_error"} 0
http_request_duration_seconds_count{method="GET",method_path="GET /ping",path="/ping",status="client_error"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.001"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.0025"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.005"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.01"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.025"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.05"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.1"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.25"} 1
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="ok",le="0.5"} 1
